citation_id,batch_id,sample_id,question_id,source_title,raw_url,normalized_url,final_url,source_group,captured_at,canonical_url,domain,source_type,is_douyin_video,douyin_video_id
CIT-R3-Q0001-D1-R1-01,第三轮全量576采样,R3-Q0001-D1-R1,Q0001,抖音数据查看平台有哪些?12大主流工具深度解析，选对平台事半功倍 | COONAV电商运营导航,https://coonav.com/36782.html,https://coonav.com/36782.html,https://coonav.com/36782.html,other,2026-09-07T08:47:53.836Z,https://coonav.com/36782.html,coonav.com,企业官网/工具平台,否,
CIT-R3-Q0001-D1-R1-02,第三轮全量576采样,R3-Q0001-D1-R1,Q0001,2026多账号抖音直播数据分析平台推荐 蝉妈妈千瓜矩阵通对比_矩阵通,https://matrix.newrank.cn/article/article-detail/9023eafac2a84c71,https://matrix.newrank.cn/article/article-detail/9023eafac2a84c71,https://matrix.newrank.cn/article/article-detail/9023eafac2a84c71,other,2026-09-07T08:47:53.836Z,https://matrix.newrank.cn/article/article-detail/9023eafac2a84c71,matrix.newrank.cn,企业官网/工具平台,否,
CIT-R3-Q0001-D1-R1-03,第三轮全量576采样,R3-Q0001-D1-R1,Q0001,抖音直播数据哪里查？3步搞定！#直播数据 #直播数据分析 #直播数据运营,https://iesdouyin.com/share/video/7647809157885897381,https://iesdouyin.com/share/video/7647809157885897381,https://iesdouyin.com/share/video/7647809157885897381,other,2026-09-07T08:47:53.836Z,https://iesdouyin.com/share/video/7647809157885897381,iesdouyin.com,抖音视频,是,7647809157885897381
CIT-R3-Q0001-D1-R1-04,第三轮全量576采样,R3-Q0001-D1-R1,Q0001,抖音公会直播数据查看与运营指南分享！#抖音公会 #抖音公会直播 #抖音公会直播数据,https://iesdouyin.com/share/video/7645237464156909226,https://iesdouyin.com/share/video/7645237464156909226,https://iesdouyin.com/share/video/7645237464156909226,other,2026-09-07T08:47:53.836Z,https://iesdouyin.com/share/video/7645237464156909226,iesdouyin.com,抖音视频,是,7645237464156909226
CIT-R3-Q0001-D1-R1-05,第三轮全量576采样,R3-Q0001-D1-R1,Q0001,抖音数据分析工具选型指南:品牌自播团队的三维评估-观远数据BI平台,https://guandata.com/gy/post/TSofjbaW.html,https://guandata.com/gy/post/TSofjbaW.html,https://guandata.com/gy/post/TSofjbaW.html,other,2026-09-07T08:47:53.836Z,https://guandata.com/gy/post/TSofjbaW.html,guandata.com,其他外部来源,否,
CIT-R3-Q0001-D1-R1-06,第三轮全量576采样,R3-Q0001-D1-R1,Q0001,抖音数据分析工具和平台推荐:免费和付费哪个好?,https://jzl.com/news/douyin-data-4,https://jzl.com/news/douyin-data-4,https://jzl.com/news/douyin-data-4,other,2026-09-07T08:47:53.836Z,https://jzl.com/news/douyin-data-4,jzl.com,企业官网/工具平台,否,
CIT-R3-Q0001-D1-R1-07,第三轮全量576采样,R3-Q0001-D1-R1,Q0001,飞瓜数据抖音版与蝉妈妈抖音版优劣势比较_飞瓜抖音版-CSDN博客,https://blog.csdn.net/lyxathena/article/details/143586363,https://blog.csdn.net/lyxathena/article/details/143586363,https://blog.csdn.net/lyxathena/article/details/143586363,other,2026-09-07T08:47:53.836Z,https://blog.csdn.net/lyxathena/article/details/143586363,blog.csdn.net,社区/博客/问答,否,
CIT-R3-Q0001-D1-R1-08,第三轮全量576采样,R3-Q0001-D1-R1,Q0001,飞瓜数据 - 短视频直播电商全链路数据分析工具,https://deepnavi.cn/ai-new-media/fei-gua-shu-ju-1,https://deepnavi.cn/ai-new-media/fei-gua-shu-ju-1,https://deepnavi.cn/ai-new-media/fei-gua-shu-ju-1,other,2026-09-07T08:47:53.836Z,https://deepnavi.cn/ai-new-media/fei-gua-shu-ju-1,deepnavi.cn,企业官网/工具平台,否,
CIT-R3-Q0001-D1-R1-09,第三轮全量576采样,R3-Q0001-D1-R1,Q0001,蝉妈妈和飞瓜数据口径对比，中小商家选哪个更合适?|直播|短视频_网易订阅,https://163.com/dy/article/L2CGUUP00556OFA0.html,https://163.com/dy/article/L2CGUUP00556OFA0.html,https://163.com/dy/article/L2CGUUP00556OFA0.html,other,2026-09-07T08:47:53.836Z,https://163.com/dy/article/L2CGUUP00556OFA0.html,163.com,新闻/门户/自媒体,否,
CIT-R3-Q0001-D1-R1-10,第三轮全量576采样,R3-Q0001-D1-R1,Q0001,蝉妈妈飞瓜核心差异?抖音运营选工具看这3点_数据_直播间_素材,https://m.sohu.com/a/1070382613_122634602,https://m.sohu.com/a/1070382613_122634602,https://m.sohu.com/a/1070382613_122634602,other,2026-09-07T08:47:53.836Z,https://m.sohu.com/a/1070382613_122634602,m.sohu.com,新闻/门户/自媒体,否,
