date,revision,hotspot_id,hotspot_name,hotspot_category,subject_id,subject_kind,industry,breakout_status,ad_eligible,eligible_modes,keyword_id,keyword,intent,applicable_modes,match_suggestion,landing_page_status,landing_page_url,landing_page_route,valid_from,valid_until,validation_status,risk_flags,evidence_refs
2026-08-26,1,HT-20260826-001,抖音电商商家体验分规范升级，预计9月8日生效，商家需提前校准体验治理,经营与规则,rule:douyin:merchant-experience-score-upgrade,rule,抖音电商经营,observation_only,false,,kw:merchant-experience-score-upgrade:01,商家体验分升级,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-08-26,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:merchant-experience-score-upgrade
2026-08-26,1,HT-20260826-001,抖音电商商家体验分规范升级，预计9月8日生效，商家需提前校准体验治理,经营与规则,rule:douyin:merchant-experience-score-upgrade,rule,抖音电商经营,observation_only,false,,kw:merchant-experience-score-upgrade:02,抖店体验分新规,业务问题词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-08-26,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:merchant-experience-score-upgrade
2026-08-26,1,HT-20260826-001,抖音电商商家体验分规范升级，预计9月8日生效，商家需提前校准体验治理,经营与规则,rule:douyin:merchant-experience-score-upgrade,rule,抖音电商经营,observation_only,false,,kw:merchant-experience-score-upgrade:03,9月8日体验分,业务问题词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-08-26,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:merchant-experience-score-upgrade
2026-08-26,1,HT-20260826-001,抖音电商商家体验分规范升级，预计9月8日生效，商家需提前校准体验治理,经营与规则,rule:douyin:merchant-experience-score-upgrade,rule,抖音电商经营,observation_only,false,,kw:merchant-experience-score-upgrade:04,体验分整改清单,业务问题词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-08-26,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:merchant-experience-score-upgrade
2026-08-26,1,HT-20260826-001,抖音电商商家体验分规范升级，预计9月8日生效，商家需提前校准体验治理,经营与规则,rule:douyin:merchant-experience-score-upgrade,rule,抖音电商经营,observation_only,false,,kw:merchant-experience-score-upgrade:05,抖音商家体验治理,业务问题词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-08-26,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:merchant-experience-score-upgrade
2026-08-26,1,HT-20260826-002,抖音治理服饰类商品尺码信息不规范，服装商家需复核尺码表与详情表达,类目与消费,rule:douyin:apparel-size-governance,rule,抖音电商经营,observation_only,false,,kw:apparel-size-governance:01,服饰尺码治理,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-08-26,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:apparel-size-governance
2026-08-26,1,HT-20260826-002,抖音治理服饰类商品尺码信息不规范，服装商家需复核尺码表与详情表达,类目与消费,rule:douyin:apparel-size-governance,rule,抖音电商经营,observation_only,false,,kw:apparel-size-governance:02,抖音尺码信息规范,业务问题词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-08-26,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:apparel-size-governance
2026-08-26,1,HT-20260826-002,抖音治理服饰类商品尺码信息不规范，服装商家需复核尺码表与详情表达,类目与消费,rule:douyin:apparel-size-governance,rule,抖音电商经营,observation_only,false,,kw:apparel-size-governance:03,服装尺码表整改,业务问题词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-08-26,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:apparel-size-governance
2026-08-26,1,HT-20260826-002,抖音治理服饰类商品尺码信息不规范，服装商家需复核尺码表与详情表达,类目与消费,rule:douyin:apparel-size-governance,rule,抖音电商经营,observation_only,false,,kw:apparel-size-governance:04,尺码不规范公告,业务问题词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-08-26,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:apparel-size-governance
2026-08-26,1,HT-20260826-002,抖音治理服饰类商品尺码信息不规范，服装商家需复核尺码表与详情表达,类目与消费,rule:douyin:apparel-size-governance,rule,抖音电商经营,observation_only,false,,kw:apparel-size-governance:05,服饰高退货SKU,业务问题词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-08-26,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:apparel-size-governance
2026-08-26,1,HT-20260826-003,抖音更新不可抗力场景发货及服务调整公告，自然灾害与会议赛事履约需动态核对,季节与营销节点,rule:douyin:force-majeure-shipping-adjustment,rule,抖音电商经营,observation_only,false,,kw:force-majeure-shipping-adjustment:01,不可抗力发货调整,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-08-26,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:force-majeure-shipping-adjustment
2026-08-26,1,HT-20260826-003,抖音更新不可抗力场景发货及服务调整公告，自然灾害与会议赛事履约需动态核对,季节与营销节点,rule:douyin:force-majeure-shipping-adjustment,rule,抖音电商经营,observation_only,false,,kw:force-majeure-shipping-adjustment:02,自然灾害发货规则,业务问题词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-08-26,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:force-majeure-shipping-adjustment
2026-08-26,1,HT-20260826-003,抖音更新不可抗力场景发货及服务调整公告，自然灾害与会议赛事履约需动态核对,季节与营销节点,rule:douyin:force-majeure-shipping-adjustment,rule,抖音电商经营,observation_only,false,,kw:force-majeure-shipping-adjustment:03,会议赛事物流调整,业务问题词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-08-26,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:force-majeure-shipping-adjustment
2026-08-26,1,HT-20260826-003,抖音更新不可抗力场景发货及服务调整公告，自然灾害与会议赛事履约需动态核对,季节与营销节点,rule:douyin:force-majeure-shipping-adjustment,rule,抖音电商经营,observation_only,false,,kw:force-majeure-shipping-adjustment:04,抖音履约豁免,业务问题词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-08-26,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:force-majeure-shipping-adjustment
